movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross
tt2408090,Adrift,2012,65.0,Drama,6.0,6,10308,[99],245927,en,Adrift,0.6,2013-07-01,Adrift,7.0,1,89,"Jun 1, 2018",Adrift,"$35,000,000","$31,445,011","$57,897,191"
tt2408090,Adrift,2012,65.0,Drama,6.0,6,23941,"[53, 10749, 12]",429300,en,Adrift,16.786,2018-06-01,Adrift,6.7,1264,89,"Jun 1, 2018",Adrift,"$35,000,000","$31,445,011","$57,897,191"
tt2408288,The House,2011,72.0,Animation,7.3,58,20888,[35],345914,en,The House,9.62,2017-06-30,The House,5.7,474,86,"Jun 30, 2017",The House,"$40,000,000","$25,584,504","$31,192,425"
tt2409300,Killers,2014,137.0,"Action,Crime,Drama",6.5,4472,123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314,54,"Jun 4, 2010",Killers,"$75,000,000","$47,059,963","$95,572,749"
tt2411684,The Campaign,2013,60.0,Documentary,6.9,14,5298,[35],77953,en,The Campaign,10.266,2012-08-10,The Campaign,5.7,982,18,"Aug 10, 2012",The Campaign,"$95,000,000","$86,907,746","$104,907,746"
tt2421956,Butterfly Girl,2014,78.0,Documentary,8.6,43,13132,[99],253290,en,Butterfly Girl,0.632,2014-03-10,Butterfly Girl,5.0,1,45,"Feb 27, 2015",Butterfly Girl,"$180,000","$17,503","$17,503"
tt2425486,Gloria,2013,110.0,"Comedy,Drama,Romance",6.8,7640,11547,"[35, 18]",160068,es,Gloria,5.925,2014-01-23,Gloria,6.5,83,91,"Jan 22, 1999",Gloria,"$30,000,000","$4,167,493","$4,967,493"
tt2429086,Hero,2012,163.0,"Action,Drama,Thriller",3.8,200,13334,[],452590,en,Hero,0.6,2014-04-17,Hero,9.0,1,63,"Oct 2, 1992",Hero,"$42,000,000","$19,487,173","$66,787,173"
tt2429086,Hero,2012,163.0,"Action,Drama,Thriller",3.8,200,15568,"[10749, 28, 18]",358996,hi,Hero,1.4,2015-09-15,Hero,6.7,12,63,"Oct 2, 1992",Hero,"$42,000,000","$19,487,173","$66,787,173"
tt2429086,Hero,2012,163.0,"Action,Drama,Thriller",3.8,200,22864,[],436107,es,Hero,0.679,2017-01-16,Hero,8.5,2,63,"Oct 2, 1992",Hero,"$42,000,000","$19,487,173","$66,787,173"
tt2431286,Philomena,2013,98.0,"Biography,Comedy,Drama",7.6,88704,8068,[18],205220,en,Philomena,8.978,2013-11-27,Philomena,7.4,945,65,"Nov 22, 2013",Philomena,"$12,000,000","$37,709,979","$98,963,392"
tt2436386,Project Almanac,2015,106.0,"Drama,Mystery,Sci-Fi",6.4,71500,14338,"[878, 53]",227719,en,Project Almanac,9.55,2015-01-30,Project Almanac,6.5,1449,84,"Jan 30, 2015",Project Almanac,"$12,000,000","$22,348,241","$32,909,437"
tt2442662,"Run, Hide, Die",2012,104.0,"Horror,Thriller",3.5,162,17277,"[53, 27]",290391,en,"Run, Hide, Die",0.6,2015-09-01,"Run, Hide, Die",3.5,2,25,"Sep 1, 2015","Run, Hide, Die","$50,000",$0,$0
tt2443822,The Boy,2015,105.0,"Drama,Horror,Thriller",5.4,4251,14537,"[18, 27, 53]",257444,en,The Boy,7.009,2015-08-14,The Boy,5.6,79,68,"Jan 22, 2016",The Boy,"$10,000,000","$35,819,556","$68,220,952"
tt2443822,The Boy,2015,105.0,"Drama,Horror,Thriller",5.4,4251,17517,"[27, 53, 9648]",321258,en,The Boy,11.703,2016-01-22,The Boy,5.8,2223,68,"Jan 22, 2016",The Boy,"$10,000,000","$35,819,556","$68,220,952"
tt2446042,Taken 3,2014,108.0,"Action,Thriller",6.0,165072,14178,"[53, 28]",260346,en,Taken 3,27.679,2015-01-09,Taken 3,6.1,3406,18,"Jan 9, 2015",Taken 3,"$48,000,000","$89,256,424","$327,656,424"
tt2446980,Joy,2015,124.0,Drama,6.6,118086,14308,"[18, 35]",274479,en,Joy,10.305,2015-12-25,Joy,6.5,2723,88,"Dec 25, 2015",Joy,"$60,000,000","$56,451,232","$101,134,059"
tt2447982,Abduction,2011,84.0,"Horror,Thriller",5.2,10,2487,"[53, 28, 9648]",59965,en,Abduction,17.69,2011-09-23,Abduction,5.8,1791,96,"Sep 23, 2011",Abduction,"$35,000,000","$28,087,155","$86,648,359"
tt2452042,The Peanuts Movie,2015,88.0,"Adventure,Animation,Comedy",7.1,39149,14288,"[12, 35, 16, 10751]",227973,en,The Peanuts Movie,11.344,2015-11-01,The Peanuts Movie,6.6,894,7,"Nov 6, 2015",The Peanuts Movie,"$99,000,000","$130,178,411","$250,091,610"
